created,id,text,screenName,retweetCount
2017-05-23T14:08:14Z,867019342801641472,"a friend of mine from mindanao said it's pretty calm there as of the moment but we have that ""calm before the storm"" thing soooo :((",ruizdatgurlisee,0
2017-05-23T12:57:36Z,867001567802777601,theres this giant storm rn i hate it :(,BENEDlCTCUM,0
2017-05-23T09:07:29Z,866943657932279808,"when you go to use OBS to record a heroes of the storm playback and mute the mic, but you didnt, you muted the deskâ€¦ https://t.co/49yjmqSBf5",ruthven78,0
2017-05-23T06:00:09Z,866896514987294721,this storm :(((,Meghanxelle,0
2017-05-23T03:56:43Z,866865449635647488,"@Tempo_Storm @CallofDuty i have advice. Don't invest, game is a money pit :( The money needed to pull top talent that will make top 5 is",BixLe_,0
2017-05-23T02:17:54Z,866840583809191936,@sleepyniggy Tfw when Rising Storm 2 comes out in 8 days and the beta got you too hype :(,Prezno2012,0
2017-05-23T02:07:37Z,866837992035495938,I'm so upset most of my cards are water damaged from the storm :(,thelonewolf1593,0
2017-05-23T00:54:04Z,866819483092045824,Sad to hear the news tonight. I only live 6m north of Mcr and have been in the arena at least 100 times in the past mainly at Storm games :(,SimonUpNorth,0
2017-05-23T00:47:16Z,866817772331950080,my anxiety is already bad from the storm this is making it so much worse :( i hate this so much,pecanoakley,0
2017-05-22T23:14:38Z,866794461757624322,Starting to rain and possibly storm. Left my umbrella in my car. :(,rosesignet,1
2017-05-22T23:04:13Z,866791840653099008,I really like Heroes of the Storm but I don't feel like I'm improving :(,Mocharaid,0
2017-05-22T22:47:00Z,866787505726787584,@rowan_county_wx view of the storm skirting us to the northeast. :( https://t.co/1F2iAOGLuW,nickielgolden,1
2017-05-22T22:46:03Z,866787269730062336,@TGNSquadron remember when @TheHengest and @MFPallytime played heroes of the storm together? I do :(,NaterCakes,0
2017-05-22T22:41:52Z,866786213314809856,And so last night's rain storm has brought down some of those lovely old trees in Sampige Road :( #bangalorerains,prats_39,0
2017-05-22T22:39:07Z,866785522542411776,Tomorrow it's Harry's concert in Mexico and i'm not going :(  *cries in a cool way*',A_Little_Storm,0
2017-05-22T22:29:39Z,866783139972165632,Hoping the first reports coming from Manchester are people over reacting and that it's not as bad as it sounds on the twitter storm :(,dragonjester,0
2017-05-22T22:20:15Z,866780774393155584,"@SilentAddle You see I wanna watch, but I also wanna play Storm King...also work :(",NozeZelle,0
2017-05-22T20:21:43Z,866750946331820032,I'm supposed to drive across the bay tonight to visit my grandparents but it's apparently going to storm :(,alexecasso,0
2017-05-22T20:06:29Z,866747113128038400,My storm @hamzakhanmazari :(,DIA_TANVIR,0
2017-05-22T19:37:54Z,866739920546738177,It looks like the storm isn't going to stop today. :-( I will be back tomorrow! Miss you! &lt;3,realJesebel,0
2017-05-22T17:52:47Z,866713463435005954,Ok this storm :(,issaPharaoh,0
2017-05-22T17:06:43Z,866701873339920384,Nooooo please don't storm :(,TeeSew,0
2017-05-22T17:03:50Z,866701145330339843,ow ow ow this big nasty storm is making my sinuses implode ow :( https://t.co/DaxdnxNf3F,nickysmithster,0
2017-05-22T16:12:45Z,866688292254777345,I want to go to Disney and see the march of the Storm troopers :-(,_oknicklit,0
2017-05-22T12:33:34Z,866633130488287232,@meganlavengood In my area it always seems to storm on garbage day (Wednesday) so I have to drag the can out in theâ€¦ https://t.co/8pW7ljJLWP,KyrieElissa,0
2017-05-22T11:36:25Z,866618750434521089,"@AtroxLong Shade-mode; engaged.

:( https://t.co/i5u1chQu30",Joon_Storm,0
2017-05-22T07:04:31Z,866550323858616320,"Tidying up the yard I found a dead magpie baby not too far from a recurring magpie nest.
Gave it a shallow grave.
Poor little cutie. :(",Joon_Storm,0
2017-05-22T06:59:44Z,866549118096752640,@I_like_weird @steforart1 @DeptofDefense You have to be brave to face the fire storm of media snowflakes etc etc etc attack attack....:(:(,joyjoyjoy77,0
2017-05-22T05:44:53Z,866530284338020352,there was a REALLY bad storm today and theres all these dead birds in my backyard :(,yeunrogers,0
2017-05-22T04:54:34Z,866517618576027649,clarice is afraid of the storm :(,fvtimabanger,0
2017-05-22T04:46:48Z,866515664885776384,@katakuesugimeow &gt;:((((( IMMA STORM IN THEIR OFFICE RN,mikanpy0n,0
